Reference,Quantity,Value,MPN
P1,1,RF1,2579819
P3,1,RF2,2579819
C1;C3;C2;C5;C4,5,1n,
P2,1,IN,2579819
U1,1,CG2179M2,CG2179M2-C4
P4,1,VC1,
P5,1,VC2,
